MFCCs_ 1,MFCCs_ 2,MFCCs_ 3,MFCCs_ 4,MFCCs_ 5,MFCCs_ 6,MFCCs_ 7,MFCCs_ 8,MFCCs_ 9,MFCCs_10,MFCCs_11,MFCCs_12,MFCCs_13,MFCCs_14,MFCCs_15,MFCCs_16,MFCCs_17,MFCCs_18,MFCCs_19,MFCCs_20,MFCCs_21,MFCCs_22,Family,Genus,Species,RecordID
1,0.152936298220384,-0.105585902844019,0.200721914808566,0.317201062343259,0.260763853131077,0.100944640810053,-0.150062604917616,-0.17112763198601,0.124676436148438,0.188654145822323,-0.0756217229244772,-0.156435925226375,0.0822451152835443,0.135752042383891,-0.0240166450287792,-0.108351107221198,-0.0776225214037558,-0.00956780151914234,0.0576839754007957,0.118680135068692,0.0140384456733697,Leptodactylidae,Adenomera,AdenomeraAndre,1
1,0.171534257314109,-0.0989747371205295,0.268425220827017,0.338671862995453,0.268353099863332,0.0608350871920449,-0.222474640379244,-0.207692670568256,0.170882873543032,0.27095827998887,-0.0950039445276873,-0.254341468381362,0.0227862345814336,0.163320101050209,0.0120222808645159,-0.0909740108032878,-0.0565095219192882,-0.035303356812479,0.0201399631478018,0.0822629868835422,0.0290557421631693,Leptodactylidae,Adenomera,AdenomeraAndre,1
1,0.152317085189856,-0.0829726738725973,0.287127957306532,0.276014083988895,0.189866772581424,0.00871395674901959,-0.242234230697363,-0.219153324384574,0.232538316574083,0.266064481907247,-0.072827186682411,-0.237383560939613,0.0507907353425093,0.20733840580524,0.0835356991035397,-0.0506914300740697,-0.0235902291809596,-0.0667215489148675,-0.0250832267732169,0.0991083997463254,0.0771623846958952,Leptodactylidae,Adenomera,AdenomeraAndre,1
1,0.22439244572155,0.118984663992927,0.329431728991851,0.37208800967925,0.36100456768708,0.0155010402636969,-0.1943474518771,-0.0981806677778217,0.270375424774079,0.267278909389666,-0.162258251525887,-0.317084231097501,-0.0115674334348972,0.100412825039324,-0.0502237308220074,-0.13600940404278,-0.177037008525031,-0.130498132704666,-0.0547663962602304,-0.018691446529289,0.0239543085482256,Leptodactylidae,Adenomera,AdenomeraAndre,1
1,0.0878169091598283,-0.0683448878848087,0.306966720688553,0.330922940689476,0.249143914245263,0.00688371297114425,-0.265423361986448,-0.172699811727761,0.266434260043502,0.332695149242033,-0.100748543620898,-0.298523875475902,0.037438885320215,0.219152827231289,0.0628372293931531,-0.0488846180288039,-0.0530735072212773,-0.0885504031444007,-0.0313455727580116,0.108609831720118,0.0792443322969332,Leptodactylidae,Adenomera,AdenomeraAndre,1
1,0.0997037443473087,-0.0334078182287543,0.349895055123958,0.344535329026687,0.247568759825133,0.0224069570042632,-0.213767158106655,-0.127915977596892,0.277352618080055,0.309861295356038,-0.134527915518185,-0.295122687352635,0.0124860225035278,0.180641015837072,0.0552417758645229,-0.0804874618930624,-0.130089219910283,-0.171477611096457,-0.0715693987933071,0.0776429543728141,0.0649025871698588,Leptodactylidae,Adenomera,AdenomeraAndre,1
1,0.0216756390813221,-0.0620752914531054,0.318229461055719,0.380439101953914,0.179042904800709,-0.0416665676598535,-0.252299868762378,-0.167117027668498,0.220027216778489,0.260325776550994,-0.100379096858466,-0.236427973214632,0.0270699959993242,0.216923037728799,0.0648531996210152,-0.0466202523470996,-0.0551461184754089,-0.085971746729402,-0.00912682052745849,0.0656303577934855,0.0440404903196165,Leptodactylidae,Adenomera,AdenomeraAndre,1
1,0.145130379393796,-0.0336602151402735,0.284166085421286,0.279537342192464,0.175210684017332,0.00579147281058601,-0.183329275921471,-0.158483127787544,0.192567048841457,0.264184230179013,-0.0637483365766121,-0.25098127568612,-0.00901526487785273,0.184266221124725,0.0756541428575543,-0.0559778411979371,-0.0482189587421892,-0.0566366211144573,-0.0224187451862948,0.0700845851898373,0.0214193585161363,Leptodactylidae,Adenomera,AdenomeraAndre,1
1,0.271326131375548,0.0277769870564642,0.375738310878494,0.385432287352579,0.272456994451337,0.0981920318214934,-0.173729644582851,-0.157856955666402,0.207180655723292,0.269932194283685,-0.122893350201343,-0.282426715957366,-0.0449844854719852,0.0644251714771492,-0.0321670105858409,-0.120722603785949,-0.112607447683261,-0.156933071310349,-0.118527113094033,-0.00247110657871239,0.0023042105916592,Leptodactylidae,Adenomera,AdenomeraAndre,1
1,0.120565353481553,-0.107235174962654,0.316555092116089,0.364436891910481,0.307757415408049,0.0259922296384118,-0.294179020077047,-0.223236110214274,0.268434603872369,0.367812726069967,-0.0910623891769179,-0.328432872317671,0.0426782281459121,0.236484423755943,0.0534362557702733,-0.0510734748877256,-0.052567619274978,-0.111338100742544,-0.0400139305498611,0.0902043087057018,0.0880251054233316,Leptodactylidae,Adenomera,AdenomeraAndre,1
